Generation,Time A,Time B,Time C,Distance
1,54.89,220.77,387.94,327.48
2,13.85,139.15,323.05,245.32
3,9.22,93.86,349.39,204.58
4,0.48,71.42,249.82,172.6
5,0.0,42.95,202.59,179.72
6,0.0,76.35,128.62,190.05
7,0.0,72.06,110.41,186.78
8,0.0,75.52,93.48,178.01
9,0.0,54.08,88.4,182.43
10,0.0,52.78,82.65,168.96

1,67.11,204.87,391.09,316.88
2,14.38,163.23,335.15,247.83
3,1.18,109.23,255.57,217.99
4,1.23,67.24,244.97,190.93
5,11.93,30.63,227.15,194.36
6,14.4,11.13,189.65,224.39
7,4.56,18.53,146.0,214.74
8,3.47,0.98,60.58,255.45
9,6.95,0.0,71.72,243.87
10,1.65,0.0,55.28,231.1

1,77.25,199.58,365.71,304.48
2,0.12,115.24,317.9,210.07
3,3.09,31.04,275.3,189.67
4,0.0,29.26,192.85,191.56
5,0.0,38.0,197.79,214.34
6,0.0,36.26,210.47,218.81
7,0.0,11.98,203.34,242.63
8,0.0,12.22,214.13,253.4
9,0.0,16.01,173.9,237.68
10,0.0,0.04,149.8,244.03

1,56.53,194.87,423.19,261.64
2,30.37,84.02,251.9,194.78
3,9.52,57.01,182.54,208.37
4,4.07,45.55,96.41,199.56
5,13.3,22.58,121.39,204.35
6,5.0,19.21,108.46,212.64
7,0.0,4.72,120.86,194.54
8,0.0,0.0,65.25,178.43
9,0.0,0.0,26.13,184.97
10,0.0,0.0,14.48,194.25

1,66.56,193.37,347.82,297.23
2,10.92,143.39,328.09,241.54
3,11.59,122.76,313.55,226.77
4,6.16,86.24,310.78,223.95
5,3.37,74.77,315.94,207.47
6,3.61,75.55,239.75,224.82
7,8.7,94.67,224.38,244.53
8,7.85,66.59,223.71,249.6
9,5.33,75.52,168.19,261.11
10,7.94,39.91,142.97,260.23

1,59.19,223.6,416.51,260.27
2,21.47,119.17,241.55,155.08
3,8.48,57.51,160.74,155.26
4,2.63,49.16,198.73,186.53
5,10.95,45.96,223.38,218.73
6,3.56,59.48,152.15,209.47
7,0.0,62.41,106.6,192.62
8,0.36,45.27,115.57,198.64
9,1.28,44.12,102.17,172.77
10,0.0,10.01,69.26,200.09

1,53.43,190.85,409.75,294.76
2,17.48,135.11,284.82,239.82
3,14.93,122.69,229.31,240.2
4,10.16,96.02,189.93,237.29
5,2.15,84.23,186.37,232.15
6,16.12,51.0,158.53,228.61
7,7.33,79.39,99.59,227.76
8,6.15,84.8,74.23,240.11
9,10.7,66.19,106.94,253.18
10,26.81,60.66,57.92,234.82

1,48.56,203.76,443.87,272.18
2,5.91,126.16,340.95,218.38
3,1.8,77.75,275.34,187.38
4,12.29,60.34,226.96,193.66
