Max Fitness Individual,Average Fitness,Number of different genomes,Total objects placed,End Iteration
4,0.152,1089,74,10000
5,0.152,1098,73,10000
3,0.151,1099,70,10000
5,0.148,1099,74,10000
5,0.148,1096,74,10000
4,0.138,1095,74,10000
6,0.148,1100,74,10000
4,0.149,1096,69,10000
3,0.149,1097,69,10000
4,0.15,1091,71,10000
3,0.133,1094,72,10000
5,0.144,1095,75,8809
3,0.159,1092,74,10000
4,0.119,1097,74,10000
4,0.133,1100,72,10000
3,0.144,1097,71,10000
3,0.146,1100,75,7526
5,0.151,1100,75,4573
4,0.151,1098,72,10000
5,0.157,1099,75,5534
